POI_ID,Longitude,Latitude,SEQ_NUM,POI_NAME,LINK_ID
1192391510,-99.64828,19.31738,2,CONTINENTAL,1289145557
1210225310,-99.64762,19.31863,1,COMUNIDAD CRISTIANA EN LA REPÚBLICA MEXICANA NUEVA VIDA,851695096
1210225310,-99.64762,19.31863,2,C. C. L. R. M. N. V.,851695096
1185671144,-99.62937,19.31813,2,DOMINO'S PIZZA,1346992364
1185671144,-99.62937,19.31813,1,DOMINO'S,1346992364
1011475245,-99.63504,19.31844,2,PODER JUDICIAL EDO MEX,799372097
1011475245,-99.63504,19.31844,1,PODER JUDICIAL GOBIERNO DEL ESTADO DE MEXICO,799372097
1059357064,-99.63941,19.32078,2,IGLESIA NAL. P. DE MÉXICO,702943962
1059357064,-99.63941,19.32078,1,IGLESIA NACIONAL PRESBITERIANA DE MÉXICO,702943962
1244537597,-99.63028,19.32034,2,CITIBANAMEX,702676198
1244537597,-99.63028,19.32034,1,BANAMEX,702676198
1244534798,-99.62544,19.32036,1,CAJERO AUTOMÁTICO HSBC MÉXICO,1346953268
1244534798,-99.62544,19.32036,2,HSBC,1346953268
1210225305,-99.64706,19.32384,1,AUDITORIO LOS DOS OLIVOS IGLESIA CRISTIANA,1346985486
1210225305,-99.64706,19.32384,2,AUD. LOS DOS OLIVOS IGLESIA CRIST.,1346985486
1104780357,-99.57767,19.32451,2,DEL DIOS VIVO,702945191
1104780357,-99.57767,19.32451,1,DEL DIOS VIVO COLUMNA Y APOYO DE LA VERDAD EL BUEN PASTOR,702945191
1233031003,-99.57529546052632,19.3359375,1,7-ELEVEN,1295326975
1233031003,-99.57529546052632,19.3359375,3,711,1295326975
1233031003,-99.57529546052632,19.3359375,2,7-ELEVEN SUC 2192 AEROPUERTO TOLUCA,1295326975
1244532850,-99.57588,19.33576,3,HSBC,1347496429
1244532850,-99.57588,19.33576,2,HSBC MÉXICO,1347496429
1244532850,-99.57588,19.33576,1,CAJERO AUTOMÁTICO HSBC MÉXICO,1347496429
